Company name;Country / Area;;;
Mitsubishi Estate Company Co., Ltd.;Japan;;;
Mitsubishi Estate Logistics REIT Investment Corporation;Japan;;;
Mitsubishi Materials Corporation;Japan;;;
Mitsui & Co., Ltd.;Japan;;;
Mitsui O.S.K. Lines Ltd;Japan;;;
Mizuho Financial Group, Inc.;Japan;;;
Mobico Group PLC;United Kingdom;;;
Mobile Telecommunications Co (Zain);Kuwait;;;
Moncler;Italy;;;
Mondelez International Inc;United States of America;;;
Mondi PLC;United Kingdom;;;
Moody's Corporation;United States of America;;;
Mori Building Co, Ltd.;Japan;;;
Morinaga Milk Industry Co., Ltd.;Japan;;;
Movida Participacoes SA;Brazil;;;
Mowi ASA;Norway;;;
MS&AD Insurance Group Holdings, Inc.;Japan;;;
MSCI;United States of America;;;
Mundys SpA;Italy;;;
Murata Mfg. Co.;Japan;;;
Musim Mas Holdings Pte Ltd;Indonesia;;;
Nabtesco Corporation;Japan;;;
NAKAYAMA STEEL WORKS, LTD.;Japan;;;
NAN YA PLASTICS CORPORATION;Taiwan, China;;;
NAN YA PRINTED CIRCUIT BOARD CORPORATION;Taiwan, China;;;
Nanya Technology Corp.;Taiwan, China;;;
Nasdaq, Inc;United States of America;;;
NATS HOLDINGS LIMITED;United Kingdom;;;
Naturgy Energy Group SA;Spain;;;
NatWest Group plc;United Kingdom;;;
NEC Capital Solutions Limited;Japan;;;
NEC Corporation;Japan;;;
Neoenergia S.A.;Brazil;;;
Nestlé;Switzerland;;;
New World Development;Hong Kong, China;;;
Nexans;France;;;
Nexi;Italy;;;
NGK Insulators, Ltd.;Japan;;;
NH Investment & Securities Co., Ltd.;Korea (The Republic of);;;
Nichicon Corporation;Japan;;;
Nichirei Corporation;Japan;;;
Nidec Corporation;Japan;;;
Nikon Corporation;Japan;;;
Nilfisk Holding A/S;Denmark;;;
Nippon Kayaku Co., Ltd.;Japan;;;
Nippon Life Insurance Company;Japan;;;
Nippon Sheet Glass Company, Ltd;Japan;;;
Nippon Shinyaku Co., Ltd.;Japan;;;
Nippon Yusen Kaisha (NYK Line);Japan;;;
Nissan Chemical Corporation;Japan;;;
Nissan Motor Co., Ltd.;Japan;;;
Nissha Co., Ltd.;Japan;;;
Niterra Co., Ltd.;Japan;;;
Nokia Group;Finland;;;
Nomura Research Institute, Ltd.;Japan;;;
Nos SGPS;Portugal;;;
Novartis;Switzerland;;;
Novozymes A/S;Denmark;;;
NSK Ltd.;Japan;;;
NTT DATA Group Corporation;Japan;;;
O-Bank Co., Ltd.;Taiwan, China;;;
Odakyu Electric Railway Co., Ltd.;Japan;;;
OKAMURA CORPORATION;Japan;;;
Ono Pharmaceutical Co., Ltd.;Japan;;;
Ontex Group NV;Belgium;;;
OPEN FIBER SPA;Italy;;;
OPMOBILITY SE;France;;;
OPTEX CO., LTD.;Japan;;;
Orient Corporation;Japan;;;
ORIX JREIT Inc.;Japan;;;
ORTEC EXPANSION;France;;;
Outokumpu Oyj;Finland;;;
PACCAR Inc;United States of America;;;
PACIFIC INDUSTRIAL CO.,LTD.;Japan;;;
PANASONIC HOLDINGS CORPORATION;Japan;;;
Pandora A/S;Denmark;;;
Parques Reunidos Group;Spain;;;
Pegatron Corporation;Taiwan, China;;;
Pennon Group;United Kingdom;;;
Penta-Ocean Construction Co Ltd;Japan;;;
PeptiDream Inc;Japan;;;
Pernod Ricard;France;;;
Pfizer Inc.;United States of America;;;
PGP Glass Private Limited;India;;;
Pola Orbis Holdings Inc.;Japan;;;
PostNL;Netherlands;;;
Powerchip Semiconductor Manufacturing Corp;Taiwan, China;;;
PricewaterhouseCoopers International Limited;United Kingdom;;;
PRIMAX ELECTRONICS Ltd.;Taiwan, China;;;
Proterial, Ltd.;Japan;;;
Proximus;Belgium;;;
Prysmian SpA;Italy;;;
PUIG Brands SA;Spain;;;
PUMA SE;Germany;;;
Qisda Corporation;Taiwan, China;;;
QNB BANK ANONIM SIRKETI;Türkiye;;;
Raybow (Suzhou) Pharmaceutical Co.,Ltd;Mainland China;;;
RAZER (ASIA-PACIFIC) PTE. LTD.;Singapore;;;
Reckitt Benckiser;United Kingdom;;;
RECRUIT HOLDINGS CO., LTD.;Japan;;;
RED ELÉCTRICA DE ESPAÑA, S.A.U.;Spain;;;
Reliance Jio Infocomm Limited;India;;;
REMA1000;Norway;;;
Remy Cointreau;France;;;
REN - Redes Energéticas Nacionais;Portugal;;;
ReNew Energy Global PLC;United Kingdom;;;
Restore plc;United Kingdom;;;
Rexel;France;;;
Ricoh Co., Ltd.;Japan;;;
Ricoh Leasing Co., Ltd.;Japan;;;
Robert Bosch GmbH;Germany;;;
ROHM Co., Ltd.;Japan;;;
RONESANS HOLDING ANONIM SIRKETI;Türkiye;;;
Royal BAM Group nv;Netherlands;;;
Royal Friesland Campina N.V.;Netherlands;;;
RS Group Plc;United Kingdom;;;
Ryanair Holdings PLC;Ireland;;;
SAAB AB;Sweden;;;
SABANCI HOLDİNG A.Ş.;Türkiye;;;
Sacyr;Spain;;;
Safaricom PLC;Kenya;;;
Safran;France;;;
Sage Group;United Kingdom;;;
Saint-Gobain;France;;;
Salvatore Ferragamo SpA;Italy;;;
Salzgitter AG;Germany;;;
Samsung Biologics Co Ltd;Korea (The Republic of);;;
Samsung C&T;Korea (The Republic of);;;
SAMSUNG E&A CO., LTD.;Korea (The Republic of);;;
Samsung Electro-Mechanics Co., Ltd.;Korea (The Republic of);;;
Samsung Electronics;Korea (The Republic of);;;
Samyang Corporation;Korea (The Republic of);;;
SANKI ENGINEERING CO.,LTD.;Japan;;;
SANOFI;France;;;
Sanoma;Finland;;;
Sanwa Holdings Corporation;Japan;;;
Sanyo Special Steel Co., Ltd.;Japan;;;
Sappi;South Africa;;;
Sapporo Holdings Limited;Japan;;;
SCA;Sweden;;;
Scandi Standard AB;Sweden;;;
SCB X PUBLIC COMPANY LIMITED;Thailand;;;
Schaeffler;Germany;;;
Schindler Holding AG;Switzerland;;;
Schneider Electric;France;;;
Schroders;United Kingdom;;;
Secom Co., Ltd.;Japan;;;
SEGRO;United Kingdom;;;
Seibu Holdings Inc.;Japan;;;
Seiko Epson Corporation;Japan;;;
Seiko Group Corporation;Japan;;;
ŞEKERBANK T.A.Ş.;Türkiye;;;
SEKISUI CHEMICAL CO.,LTD.;Japan;;;
Sekisui House Reit,Inc.;Japan;;;
Sekisui House, Ltd.;Japan;;;
Senior Plc;United Kingdom;;;
Serco Group;United Kingdom;;;
Severfield plc;United Kingdom;;;
Severn Trent;United Kingdom;;;
SG Holdings;Japan;;;
SGD PHARMA GROUP;France;;;
SHANDONG KEYUAN PHARMACEUTICAL;Mainland China;;;
Shanghai Jingzhi Gift Packaging Co., Ltd;Mainland China;;;
Shanghai LIBA Electronic Technology Co.,Ltd;Mainland China;;;
SHANGHAI RONG QING;Mainland China;;;
Shanying International Holdings Co Ltd;Mainland China;;;
SHENZHEN YUTO PACKAGING TECHNOLOGY CO LTD;Mainland China;;;
Shimadzu Corporation;Japan;;;
Shin Nippon Air Technologies Co.,Ltd.;Japan;;;
SHINAGAWA REFRACTORIES CO.,LTD.;Japan;;;
Shinhan Financial Group;Korea (The Republic of);;;
Shionogi & Co., Ltd.;Japan;;;
Shiseido Co., Ltd.;Japan;;;
Shizuoka Financial Group, Inc.;Japan;;;
SHS – Stahl-Holding-Saar;Germany;;;
Shui On Land Limited;Cayman Islands;;;
SHYA HSIN PACKAGING INDUSTRY(CHINA)CO.,LTD.;Mainland China;;;
Siemens AG;Germany;;;
Siemens Energy AG;Germany;;;
Signify N.V.;Netherlands;;;
SIIX Corporation;Japan;;;
Siltronic AG;Germany;;;
Sino American Silicon Products;Taiwan, China;;;
Sino Land;Hong Kong, China;;;
SinoPac Financial Holdings Co. Ltd.;Taiwan, China;;;
SK Chemicals;Korea (The Republic of);;;
SK Discovery;Korea (The Republic of);;;
SK Gas Co., Ltd;Korea (The Republic of);;;
SK Hynix;Korea (The Republic of);;;
SK Networks Co., Ltd.;Korea (The Republic of);;;
SK Siltron Co., Ltd.;Korea (The Republic of);;;
SK SQUARE;Korea (The Republic of);;;
SKF;Sweden;;;
Skylark Holdings Co., Ltd.;Japan;;;
SLC Agricola SA;Brazil;;;
SMC Corporation;Japan;;;
SMCP SA;France;;;
Snam S.P.A;Italy;;;
Snap Inc.;United States of America;;;
SNCF;France;;;
SOCIEDAD ANONIMA INDUSTRIAS CELULOSA ARAGONESA;Spain;;;
SOCIETE GENERALE;France;;;
Societe Pour L'Informatique;France;;;
Sodexo;France;;;
SoftBank Corp.;Japan;;;
Sojitz Corporation;Japan;;;
Solar AS;Denmark;;;
SOLiD, Inc.;Korea (The Republic of);;;
Sompo Holdings, Inc;Japan;;;
SONAE MC;Portugal;;;
Sonae SGPS;Portugal;;;
Sony Group Corporation;Japan;;;
Sopra Steria Group;France;;;
Spirax Group plc;United Kingdom;;;
Standard Chartered;United Kingdom;;;
STARHUB LTD.;Singapore;;;
Starts Corporation Inc.;Japan;;;
Stora Enso Oyj;Finland;;;
Sumco Corporation;Japan;;;
