sbti_id;company_name
40008785;Austria Glas Recycling GmbH
40011175;Austrian Post
40001649;Auto Trader Group plc
40001667;Auto Windscreens Services Limited
40012568;AutoCorp S.A
40006055;Autodesk, Inc.
40005069;Autoliv Inc
40015660;Automatismes du Centre Est
40015174;Autoneum Holding Ltd
40014992;AutoScout24 GmbH
40006488;Autostrade per l'Italia S.p.A.
40013315;AvalonBay Communities, Inc.
40015755;AVANISTA GROUP
40013718;West Coast Partnership
40001469;Avanza Bank Holding AB
40000602;Avara Foods Ltd
40013975;Avarn Security Group Holding AS
40000919;Avaya Holdings Corp.
40009028;Avery Dennison Corporation
40006536;AVEVA Group
40015329;Aviatur S.A.S.
40003195;Avícola Coliumo
40013481;Avieco
40002527;Avison Young (UK) Limited
40013805;Aviva PLC
40007348;AXA Group
40007124;Axcel Management
40001201;Axel Springer SE
40011779;Axfood AB
40006432;Axiata Group Berhad
40005118;Axion Biosystems
40012785;Axionable
40008405;Axis Communications AB
40002187;AYDEM YENİLENEBİLİR ENERJİ A.Ş.
40012859;AYYILDIZ DOKUMA KUMAS PAZ. SAN VE TIC. A.S.
40004233;Ayala Land Inc
40012662;Azbil Corporation
40010690;Azul Linhas Aéreas SA
40003358;AZURA Group
40001962;Azzurri Central Limited
40010465;B&M European Value Retail S.A
40001432;B&S Group S.A.
40014963;B2Holding ASA
40011876;B2R Local No.1 Pty Ltd
40007979;BA GLASS B.V.
40005787;Babcock International Group PLC
40008609;Bacardi Limited
40005408;Bachy Soletanche Limited
40008033;Back Market
40009809;BADER GmbH & Co. kG
40007055;BAE Systems PLC
40012259;Bain & Company
40007214;BAIT AL -HIKMA LTD.
40008889;Baker McKenzie
40007831;Balfour Beatty Plc
40000783;Ball Corporation
40000582;BALLY SCHUHFABRIKEN AG
40004686;Bally's Corporation
40000351;Balsam laboratory (Shanghai) Co., Ltd
40011139;Baluarte Cultura
40011922;Türkiye Halk Bankası A.Ş.
40009827;BARLOG Plastics GmbH
40000528;Balwin Properties
40002865;BAMA Foods AB
40007488;Bama Fresh Cuts AB
40002930;BAMA Gruppen AS
40000657;Banco do Brasil S.A.
40014065;BanColombia SA
40007038;Bang & Olufsen A/S
40008375;Bangladesh Export Import Company Limited
40003530;Bank Australia
40013764;Bank J. Safra Sarasin AG
40008829;Bank Ochrony Środowiska S.A.
40011090;Bank of Ireland Group plc
40011263;Barco NV
40015434;Bari Textile Mills Pvt. Limited.
40009234;Barilla G.R. Fratelli SpA
40015871;Baringa Partners LLP
40010098;BARRATT DEVELOPMENTS PLC
40010685;Barry Callebaut
40015914;Bates IT Ltd
40011348;Bath & Body Works
40009814;BauMont Real Estate Capital
40005555;BayCurrent Consulting, Inc.
40011588;Bayer AG
40002564;Bayerische Milchindustrie eG
40010448;Baywa Global Produce
40005030;Bboxx Ltd.
40008858;BBVA
40009178;BCB Group
40003374;BCD Travel USA, LLC
40013070;BCE Inc.
40000251;BD (Becton, Dickinson & Company)
40007991;BDB Pitmans LLP
40003108;BDO LLP
40014910;BDO USA, P.C.
40012729;BearingPoint Holding B.V.
40002481;Beaulieu International Group
40011528;Beauty Manufacturing Solutions Corp
40009843;Beautycounter
40004724;Beck & Jørgensen A/S
40002193;BEFIMMO SA
40009220;BEHARI LAL ISPAT PVT LTD
40007358;Behn Meyer Holding AG
40005714;Beiersdorf AG
40003012;Beijer Ref AB
40000141;BekaertDeslee NV
40010185;BEL S.A.
40009999;Belcan International Ltd
40011896;Belfius Bank SA
40010780;BELFOR (UK) Limited
40001554;Belgotex Floorcoverings (Pty) Ltd
40012938;BELLSYSTEM24 HOLDINGS, INC.
40012948;Bellway Homes Limited
40010473;BelOrta
40014110;Belron
40007179;Belu Water Ltd
40009308;Bendigo and Adelaide Bank Limited
40004037;Benesse Corporation, Inc.
40005381;Benetton Group Srl
40001790;Bennetts Associates
40004936;BENTELER Group
40009403;Bergfreunde GmbH
40013362;BergHOFF Belgium
40010180;Berglandmilch eGen
40007992;Bergzeit GmbH
40003731;BERICAP Holding GmbH
40004385;Berlin Packaging, LLC
40012044;Berner Ltd
40015082;Berry Global Group, Inc.
40001462;Bertegruppen AB
